Tid,Allelande,Danske,Europa,USA,Verden
1980,15943,3720,4135,7103,985
1981,16208,4101,3549,7903,655
1982,14272,2995,3480,7191,606
1983,13825,2830,3234,7332,429
1984,11787,2754,2229,6590,214
1985,11278,2193,2265,6590,230
1986,11355,2867,1479,6884,125
1987,11448,2441,1796,6334,877
1988,9962,1906,1340,5994,722
1989,10255,1704,1987,6393,171
1990,9624,1639,803,7110,72
1991,9218,1193,547,7430,48
1992,8648,1577,508,6521,42
1993,10222,1761,752,7370,339
1994,10298,2318,1033,6675,272
1995,8817,776,699,7057,285
1996,9894,1660,1568,6607,59
1997,10843,2239,1453,6961,190
1998,11011,1589,1203,8159,60
1999,11020,3111,1644,6228,37
2000,10691,2050,918,7573,150
2001,11973,3652,1814,6003,503
2002,12911,3242,2213,7328,127
2003,12296,3167,1406,7430,293
2004,12787,3025,1499,8162,101
2005,12187,3953,1894,6230,110
2006,12604,3127,2019,7270,188
2007,12106,3101,2374,6397,234
2008,13246,4275,1912,6880,179
2009,14081,2434,3899,7110,638
2010,12952,2882,1959,7744,368
2011,12433,3363,1899,6985,186
2012,13591,3898,2585,6943,164
2013,12866,3884,1634,7091,256
2014,11916,3261,1343,6937,376
2015,13789,4112,2510,6957,210
2016,12994,2731,1754,7759,749
2017,11927,2531,1743,7249,404
2018,12486,3700,1994,6507,285
2019,12808,3417,1559,7465,367
2020,6990,3507,636,2580,268
